Dates ,DDH801 0         ,DuH801 0         ,FFH801 m/s       ,FuH801 m/s       ,PPH801 hPa       ,RHH801 %         ,RRH801 mm        ,T1H801 0C        ,T2H801 0C        ,T3H801 0C        ,T4H801 0C        ,T5H801 0C        ,T6H801 0C        ,VMH801 m/s       ,VuH801 m/s       
01/01/2000 00:30:00,218.7,,5.38,,1021.8,93,0,5.8,5.4,5.2,5,,4.5,5.38,
01/01/2000 01:00:00,225.4,,5.38,,1021.9,93,0,5.8,5.5,5.4,5.2,,4.6,5.39,
01/01/2000 01:30:00,229.8,,6.15,,1022.1,93,0,5.8,5.6,5.5,5.3,,4.7,6.15,
01/01/2000 02:00:00,224.6,,5.69,,1022.1,93,0,6,5.7,5.6,5.3,,4.8,5.73,
01/01/2000 02:30:00,215.9,,6.04,,1022,93,0,6.1,5.8,5.6,5.2,,4.7,6.05,
01/01/2000 03:00:00,222.5,,6.26,,1021.9,93,0,6.1,5.7,5.5,5.3,,4.8,6.26,
01/01/2000 03:30:00,221.8,,6.27,,1021.7,92,0,6.1,5.8,5.6,5.3,,4.8,6.27,
01/01/2000 04:00:00,225.2,,6.74,,1021.6,92,0,6.1,5.8,5.7,5.5,,4.8,6.75,
01/01/2000 04:30:00,222.9,,6.99,,1021.5,93,0,6.1,5.8,5.7,5.5,,4.8,7,
01/01/2000 05:00:00,222.6,,6.81,,1021.5,93,0,6.2,5.9,5.7,5.5,,4.9,6.81,
01/01/2000 05:30:00,226.9,,6.74,,1021.6,93,0.2,6.2,5.9,5.8,5.6,,5,6.75,
01/01/2000 06:00:00,228.1,,6.87,,1021.6,93,0,6.3,6,5.9,5.7,,5.2,6.88,
01/01/2000 06:30:00,231.1,,7.44,,1021.7,93,0,6.3,6.1,6,5.7,,5.3,7.46,
01/01/2000 07:00:00,245.2,,6.84,,1022.1,93,0,6.4,6.2,6.1,5.9,,5.5,6.88,
01/01/2000 07:30:00,248.8,,6.3,,1022.5,93,0,6.8,6.5,6.4,6.2,,5.8,6.31,
01/01/2000 08:00:00,251.7,,6.45,,1022.6,93,0,6.8,6.5,6.5,6.4,,5.9,6.46,
01/01/2000 08:30:00,257.3,,7.68,,1023,93,0,7,6.8,6.7,6.6,,6.2,7.69,
01/01/2000 09:00:00,259.2,,7.96,,1023.2,93,0.2,7.2,7,7,6.8,,6.3,7.97,
01/01/2000 09:30:00,,,,,,,,,,,,,,,
01/01/2000 10:00:00,279.3,,7.74,,1023.9,93,0,7.5,7.2,7.1,6.9,,6.7,7.77,
01/01/2000 10:30:00,288,,6.95,,1024.1,93,0,7.6,7.3,7.2,6.9,,6.8,6.96,
01/01/2000 11:00:00,300.3,,6.44,,1024.1,93,0,7.7,7.4,7.3,7.1,,7,6.46,
01/01/2000 11:30:00,307,,5.3,,1024.1,93,0,7.9,7.5,7.4,7.3,,7,5.31,
01/01/2000 12:00:00,311.5,,4.93,,1024.1,93,0,8.1,7.8,7.7,7.5,,7,4.94,
01/01/2000 12:30:00,311.2,,4.52,,1024.4,93,0,8.2,7.9,7.8,7.6,,7.1,4.53,
01/01/2000 13:00:00,313.3,,4.61,,1024.5,93,0,8.4,8,7.9,7.7,,7.2,4.61,
01/01/2000 13:30:00,308.5,,4.59,,1024.5,93,0,8.6,8.2,8.1,7.8,,7.3,4.59,
01/01/2000 14:00:00,307.2,,4.26,,1024.7,93,0,8.7,8.4,8.3,8,,7.3,4.26,
01/01/2000 14:30:00,305.2,,3.44,,1024.9,92,0,8.7,8.3,8.2,7.9,,7.2,3.48,
01/01/2000 15:00:00,296.5,,3.04,,1025.3,92,0,8.3,8.1,8,7.7,,7.1,3.06,
01/01/2000 15:30:00,301.7,,2.65,,1025.5,92,0,8,7.8,7.7,7.4,,6.8,2.68,
01/01/2000 16:00:00,295.5,,2.28,,1025.6,92,0,7.8,7.6,7.5,7.2,,6.7,2.32,
01/01/2000 16:30:00,280.7,,1.86,,1026,92,0,7.7,7.4,7.3,7,,6.6,1.9,
01/01/2000 17:00:00,261.5,,2.3,,1026,92,0,7.6,7.3,7.1,6.9,,6.5,2.33,
01/01/2000 17:30:00,279.4,,2.18,,1026.3,93,0,7.4,7.1,7,6.8,,6.3,2.21,
01/01/2000 18:00:00,276.5,,2.58,,1026.5,93,0,7.2,6.9,6.8,6.6,,6.2,2.6,
01/01/2000 18:30:00,241.8,,1.98,,1026.6,93,0,7.2,6.9,6.8,6.6,,6.2,2.16,
01/01/2000 19:00:00,204,,2.28,,1026.8,93,0,7.3,7,7,6.7,,6.2,2.33,
01/01/2000 19:30:00,220,,3.16,,1027,93,0,7.5,7.2,7.2,7,,6.3,3.19,
01/01/2000 20:00:00,222.9,,4.27,,1027,93,0,7.6,7.4,7.4,7.1,,6.2,4.28,
01/01/2000 20:30:00,232.6,,4.92,,1027.2,93,0,7.6,7.3,7.1,6.9,,6.2,4.99,
01/01/2000 21:00:00,241.2,,4.34,,1027.4,93,0,7.6,7.2,7.2,6.9,,6.4,4.38,
01/01/2000 21:30:00,244.7,,3.97,,1027.7,92,0,7.6,7.3,7.2,7,,6.3,4.02,
01/01/2000 22:00:00,254.8,,3.7,,1028,92,0,7.5,7.2,7.1,6.9,,6.3,3.72,
01/01/2000 22:30:00,247.8,,3.25,,1028.1,92,0,7.6,7.3,7.2,7,,6.4,3.28,
01/01/2000 23:00:00,235.5,,3.06,,1028.3,92,0,7.6,7.2,7.1,6.8,,6.2,3.08,
01/01/2000 23:30:00,215.5,,2.83,,1028.3,92,0,7.6,7.3,7.2,6.9,,6.3,2.85,
01/02/2000 00:00:00,214.2,,2.68,,1028.2,92,0,7.5,7.2,7.2,6.9,,6.1,2.7,
01/02/2000 00:30:00,210.5,,3.5,,1028,92,0,7.3,7,6.9,6.6,,5.9,3.52,
01/02/2000 01:00:00,220,,2.86,,1027.7,92,0,7.2,7,6.9,6.5,,6.1,2.92,
01/02/2000 01:30:00,198.9,,4.71,,1027.8,92,0,7,6.7,6.6,6.2,,5.6,4.71,
01/02/2000 02:00:00,193.7,,5.52,,1027.7,92,0,7,6.8,6.6,6.1,,5.4,5.58,
01/02/2000 02:30:00,187.5,,6.14,,1027.7,92,0,7.3,7,6.9,6.4,,5.6,6.15,
01/02/2000 03:00:00,199.8,,7.26,,1027.7,92,0,7.2,7,6.9,6.4,,5.6,7.27,
